"","A","uAuB","Au","B","Bu","E.x","E.y","pA","peA","pB","peB","Pr","PrUn","index","structure","posterior","groupPost","pgroup","trialtype","node","cesm","node2","node3","noSelect","Actual"
"107","1","11","1","1","1","0","1",0.1,0.5,0.8,0.5,0.02,0.25,27,"disjunctive",0,6,"1","d6","B",-0.287906208515671,"B","B=1",1,FALSE
"108","1","11","1","1","1","0","1",0.1,0.5,0.8,0.5,0.02,0.25,27,"disjunctive",0,6,"1","d6","Bu=1",-0.479805366873055,"Bu","Bu=1",1,FALSE
"109","1","11","1","1","1","1","1",0.1,0.5,0.8,0.5,0.02,0.25,28,"disjunctive",0.333333333333333,7,"1","d7","A",0.285376502214326,"A","A=1",1,TRUE
"110","1","11","1","1","1","1","1",0.1,0.5,0.8,0.5,0.02,0.25,28,"disjunctive",0.333333333333333,7,"1","d7","Au=1",0.198357628552606,"Au","Au=1",1,TRUE
"111","1","11","1","1","1","1","1",0.1,0.5,0.8,0.5,0.02,0.25,28,"disjunctive",0.333333333333333,7,"1","d7","B",0.287829415689019,"B","B=1",1,TRUE
"112","1","11","1","1","1","1","1",0.1,0.5,0.8,0.5,0.02,0.25,28,"disjunctive",0.333333333333333,7,"1","d7","Bu=1",0.480057890714172,"Bu","Bu=1",1,TRUE
"113","0","00","0","0","0","0","0",0.9,0.5,0.2,0.5,0.045,0.25,1,"conjunctive",0.25,1,"1","c1","A",0.0691630118498526,"A","A=0",1,TRUE
"114","0","00","0","0","0","0","0",0.9,0.5,0.2,0.5,0.045,0.25,1,"conjunctive",0.25,1,"1","c1","Au=0",0.0290281767599624,"Au","Au=0",1,TRUE
"115","0","00","0","0","0","0","0",0.9,0.5,0.2,0.5,0.045,0.25,1,"conjunctive",0.25,1,"1","c1","B",0.0216606861563693,"B","B=0",1,TRUE
"116","0","00","0","0","0","0","0",0.9,0.5,0.2,0.5,0.045,0.25,1,"conjunctive",0.25,1,"1","c1","Bu=0",0.0289794077486227,"Bu","Bu=0",1,TRUE
"117","0","01","0","0","1","0","0",0.9,0.5,0.2,0.5,0.045,0.25,2,"conjunctive",0.25,1,"1","c1","A",0.177780895310137,"A","A=0",1,TRUE
"118","0","01","0","0","1","0","0",0.9,0.5,0.2,0.5,0.045,0.25,2,"conjunctive",0.25,1,"1","c1","Au=0",0.0742408080467579,"Au","Au=0",1,TRUE
"119","0","01","0","0","1","0","0",0.9,0.5,0.2,0.5,0.045,0.25,2,"conjunctive",0.25,1,"1","c1","B",0.055510872908194,"B","B=0",1,TRUE
"120","0","01","0","0","1","0","0",0.9,0.5,0.2,0.5,0.045,0.25,2,"conjunctive",0.25,1,"1","c1","Bu=1",-0.0131154203929372,"Bu","Bu=1",1,FALSE
"121","0","10","1","0","0","0","0",0.9,0.5,0.2,0.5,0.045,0.25,3,"conjunctive",0.25,1,"1","c1","A",0.172473294108098,"A","A=0",1,TRUE
"122","0","10","1","0","0","0","0",0.9,0.5,0.2,0.5,0.045,0.25,3,"conjunctive",0.25,1,"1","c1","Au=1",-0.0127193187268204,"Au","Au=1",1,FALSE
"123","0","10","1","0","0","0","0",0.9,0.5,0.2,0.5,0.045,0.25,3,"conjunctive",0.25,1,"1","c1","B",0.0538164825505848,"B","B=0",1,TRUE
"124","0","10","1","0","0","0","0",0.9,0.5,0.2,0.5,0.045,0.25,3,"conjunctive",0.25,1,"1","c1","Bu=0",0.0721572937848205,"Bu","Bu=0",1,TRUE
"125","0","11","1","0","1","0","0",0.9,0.5,0.2,0.5,0.045,0.25,4,"conjunctive",0.25,1,"1","c1","A",0.409615640016647,"A","A=0",1,TRUE
"126","0","11","1","0","1","0","0",0.9,0.5,0.2,0.5,0.045,0.25,4,"conjunctive",0.25,1,"1","c1","Au=1",-0.0301266573920124,"Au","Au=1",1,FALSE
"127","0","11","1","0","1","0","0",0.9,0.5,0.2,0.5,0.045,0.25,4,"conjunctive",0.25,1,"1","c1","B",0.127854074251846,"B","B=0",1,TRUE
"128","0","11","1","0","1","0","0",0.9,0.5,0.2,0.5,0.045,0.25,4,"conjunctive",0.25,1,"1","c1","Bu=1",-0.0301295939761862,"Bu","Bu=1",1,FALSE
"129","0","00","0","1","0","0","0",0.9,0.5,0.8,0.5,0.18,0.25,5,"conjunctive",0.25,2,"1","c2","A",0.14466318914144,"A","A=0",1,TRUE
"130","0","00","0","1","0","0","0",0.9,0.5,0.8,0.5,0.18,0.25,5,"conjunctive",0.25,2,"1","c2","Au=0",0.0606440366908821,"Au","Au=0",1,TRUE
"131","0","00","0","1","0","0","0",0.9,0.5,0.8,0.5,0.18,0.25,5,"conjunctive",0.25,2,"1","c2","B",-0.00642403753734289,"B","B=1",1,FALSE
"132","0","00","0","1","0","0","0",0.9,0.5,0.8,0.5,0.18,0.25,5,"conjunctive",0.25,2,"1","c2","Bu=0",0.0608033093719919,"Bu","Bu=0",1,TRUE
"133","0","01","0","1","1","0","0",0.9,0.5,0.8,0.5,0.18,0.25,6,"conjunctive",0.25,2,"1","c2","A",0.343599259204331,"A","A=0",1,TRUE
"134","0","01","0","1","1","0","0",0.9,0.5,0.8,0.5,0.18,0.25,6,"conjunctive",0.25,2,"1","c2","Au=0",0.144401203483118,"Au","Au=0",1,TRUE
"135","0","01","0","1","1","0","0",0.9,0.5,0.8,0.5,0.18,0.25,6,"conjunctive",0.25,2,"1","c2","B",-0.0153047052586204,"B","B=1",1,FALSE
"136","0","01","0","1","1","0","0",0.9,0.5,0.8,0.5,0.18,0.25,6,"conjunctive",0.25,2,"1","c2","Bu=1",-0.0255161553381507,"Bu","Bu=1",1,FALSE
"137","0","10","1","1","0","0","0",0.9,0.5,0.8,0.5,0.18,0.25,7,"conjunctive",0.25,2,"1","c2","A",0.342686902140041,"A","A=0",1,TRUE
"138","0","10","1","1","0","0","0",0.9,0.5,0.8,0.5,0.18,0.25,7,"conjunctive",0.25,2,"1","c2","Au=1",-0.0252882879335965,"Au","Au=1",1,FALSE
"139","0","10","1","1","0","0","0",0.9,0.5,0.8,0.5,0.18,0.25,7,"conjunctive",0.25,2,"1","c2","B",-0.0152385863388066,"B","B=1",1,FALSE
"140","0","10","1","1","0","0","0",0.9,0.5,0.8,0.5,0.18,0.25,7,"conjunctive",0.25,2,"1","c2","Bu=0",0.143791340833183,"Bu","Bu=0",1,TRUE
"141","0","11","1","1","1","0","0",0.9,0.5,0.8,0.5,0.18,0.25,8,"conjunctive",0.25,2,"1","c2","A",0.815837154147256,"A","A=0",1,TRUE
"142","0","11","1","1","1","0","0",0.9,0.5,0.8,0.5,0.18,0.25,8,"conjunctive",0.25,2,"1","c2","Au=1",-0.0605324469230962,"Au","Au=1",1,FALSE
"143","0","11","1","1","1","0","0",0.9,0.5,0.8,0.5,0.18,0.25,8,"conjunctive",0.25,2,"1","c2","B",-0.0363918766644165,"B","B=1",1,FALSE
"144","0","11","1","1","1","0","0",0.9,0.5,0.8,0.5,0.18,0.25,8,"conjunctive",0.25,2,"1","c2","Bu=1",-0.0605400648535825,"Bu","Bu=1",1,FALSE
"145","1","00","0","0","0","0","0",0.1,0.5,0.2,0.5,0.005,0.25,9,"conjunctive",0.25,3,"1","c3","A",-0.0381870018660387,"A","A=1",1,FALSE
"146","1","00","0","0","0","0","0",0.1,0.5,0.2,0.5,0.005,0.25,9,"conjunctive",0.25,3,"1","c3","Au=0",0.149865996945695,"Au","Au=0",1,TRUE
"147","1","00","0","0","0","0","0",0.1,0.5,0.2,0.5,0.005,0.25,9,"conjunctive",0.25,3,"1","c3","B",0.112036748287811,"B","B=0",1,TRUE
"148","1","00","0","0","0","0","0",0.1,0.5,0.2,0.5,0.005,0.25,9,"conjunctive",0.25,3,"1","c3","Bu=0",0.149593024163615,"Bu","Bu=0",1,TRUE
"149","1","01","0","0","1","0","0",0.1,0.5,0.2,0.5,0.005,0.25,10,"conjunctive",0.25,3,"1","c3","A",-0.091975023479138,"A","A=1",1,FALSE
"150","1","01","0","0","1","0","0",0.1,0.5,0.2,0.5,0.005,0.25,10,"conjunctive",0.25,3,"1","c3","Au=0",0.359754714237101,"Au","Au=0",1,TRUE
"151","1","01","0","0","1","0","0",0.1,0.5,0.2,0.5,0.005,0.25,10,"conjunctive",0.25,3,"1","c3","B",0.268825671835054,"B","B=0",1,TRUE
