"","pgroup","trialtype","node3","A","uAuB","Au","B","Bu","E.x","E.y","pA","peA","pB","peB","Pr","PrUn","index","structure","posterior","groupPost","node","cesm","node2","Actual","cesmActual","post","prior","ig","Act1","noSelect","full","noAct"
"88","1","d1","Au=1","0","11","1","0","1","0","0",0.9,0.5,0.2,0.5,0.045,0.25,4,"disjunctive",0.25,1,"Au=1",-0.0205827678314564,"Au",FALSE,0,0.5,0.5,0,0.5,0,0,-0.0102913839157282
"89","1","d1","B=0","0","00","0","0","0","0","0",0.9,0.5,0.2,0.5,0.045,0.25,1,"disjunctive",0.25,1,"B",0.325489996097285,"B",TRUE,0.325489996097285,0,0,0,1,1,0.0813724990243213,0.0813724990243213
"90","1","d1","B=0","0","01","0","0","1","0","0",0.9,0.5,0.2,0.5,0.045,0.25,2,"disjunctive",0.25,1,"B",0.891077486880123,"B",TRUE,0.891077486880123,0,0,0,1,1,0.222769371720031,0.222769371720031
"91","1","d1","B=0","0","10","1","0","0","0","0",0.9,0.5,0.2,0.5,0.045,0.25,3,"disjunctive",0.25,1,"B",0.26170471527877,"B",TRUE,0.26170471527877,0,0,0,1,1,0.0654261788196926,0.0654261788196926
"92","1","d1","B=0","0","11","1","0","1","0","0",0.9,0.5,0.2,0.5,0.045,0.25,4,"disjunctive",0.25,1,"B",0.848322234942127,"B",TRUE,0.848322234942127,0,0,0,1,1,0.212080558735532,0.212080558735532
"93","1","d1","Bu=0","0","00","0","0","0","0","0",0.9,0.5,0.2,0.5,0.045,0.25,1,"disjunctive",0.25,1,"Bu=0",0.434796928056041,"Bu",TRUE,0.434796928056041,0.5,0.5,0,0.5,0.5,0.21739846402802,0.21739846402802
"94","1","d1","Bu=0","0","10","1","0","0","0","0",0.9,0.5,0.2,0.5,0.045,0.25,3,"disjunctive",0.25,1,"Bu=0",0.349015474473335,"Bu",TRUE,0.349015474473335,0.5,0.5,0,0.5,0.5,0.174507737236668,0.174507737236668
"95","1","d1","Bu=1","0","01","0","0","1","0","0",0.9,0.5,0.2,0.5,0.045,0.25,2,"disjunctive",0.25,1,"Bu=1",-0.21071669070818,"Bu",FALSE,0,0.5,0.5,0,0.5,0,0,-0.10535834535409
"96","1","d1","Bu=1","0","11","1","0","1","0","0",0.9,0.5,0.2,0.5,0.045,0.25,4,"disjunctive",0.25,1,"Bu=1",-0.199759112505794,"Bu",FALSE,0,0.5,0.5,0,0.5,0,0,-0.0998795562528971
"97","1","d2","A=0","0","00","0","1","0","0","0",0.9,0.5,0.8,0.5,0.18,0.25,5,"disjunctive",0.5,2,"A",0.0634359718888258,"A",TRUE,0.0634359718888258,0,0,0,1,1,0.0317179859444129,0.0317179859444129
"98","1","d2","A=0","0","10","1","1","0","0","0",0.9,0.5,0.8,0.5,0.18,0.25,9,"disjunctive",0.5,2,"A",0.336217882326205,"A",TRUE,0.336217882326205,0,0,0,1,1,0.168108941163102,0.168108941163102
"99","1","d2","A=0","0","01","0","1","1","0","1",0.9,0.5,0.8,0.5,0.18,0.25,7,"disjunctive",0,2,"A",0.0126385464941144,"A",TRUE,0.0126385464941144,0,0,0,1,1,0,0
"100","1","d2","A=0","0","11","1","1","1","0","1",0.9,0.5,0.8,0.5,0.18,0.25,11,"disjunctive",0,2,"A",0.0743878741677015,"A",TRUE,0.0743878741677015,0,0,0,1,1,0,0
"101","1","d2","Au=0","0","00","0","1","0","0","0",0.9,0.5,0.8,0.5,0.18,0.25,5,"disjunctive",0.5,2,"Au=0",0.027341590620048,"Au",TRUE,0.027341590620048,0.5,0.5,0,0.5,0.5,0.013670795310024,0.013670795310024
"102","1","d2","Au=0","0","01","0","1","1","0","1",0.9,0.5,0.8,0.5,0.18,0.25,7,"disjunctive",0,2,"Au=0",0.00655684044490218,"Au",TRUE,0.00655684044490218,0.5,0.5,0,0.5,0.5,0.00327842022245109,0.00327842022245109
"103","1","d2","Au=1","0","11","1","1","1","0","1",0.9,0.5,0.8,0.5,0.18,0.25,11,"disjunctive",0,2,"Au=1",-0.00498576858879627,"Au",FALSE,0,0.5,0.5,0,0.5,0,0,-0.00249288429439813
"104","1","d2","Au=1","0","10","1","1","0","0","0",0.9,0.5,0.8,0.5,0.18,0.25,9,"disjunctive",0.5,2,"Au=1",-0.0262686411111888,"Au",FALSE,0,0.5,0.5,0,0.5,0,0,-0.0131343205555944
"105","1","d2","B=1","0","00","0","1","0","0","0",0.9,0.5,0.8,0.5,0.18,0.25,5,"disjunctive",0.5,2,"B",-0.100355365026207,"B",FALSE,0,0,0,0,0,0,0,-0.0501776825131036
"106","1","d2","B=1","0","01","0","1","1","0","1",0.9,0.5,0.8,0.5,0.18,0.25,7,"disjunctive",0,2,"B",-0.502840724089759,"B",FALSE,0,0,0,0,0,0,0,0
"107","1","d2","B=1","0","10","1","1","0","0","0",0.9,0.5,0.8,0.5,0.18,0.25,9,"disjunctive",0.5,2,"B",-0.093614735328838,"B",FALSE,0,0,0,0,0,0,0,-0.046807367664419
"108","1","d2","B=1","0","11","1","1","1","0","1",0.9,0.5,0.8,0.5,0.18,0.25,11,"disjunctive",0,2,"B",-0.494655413001773,"B",FALSE,0,0,0,0,0,0,0,0
"109","1","d2","Bu=0","0","00","0","1","0","0","0",0.9,0.5,0.8,0.5,0.18,0.25,5,"disjunctive",0.5,2,"Bu=0",0.949608672149709,"Bu",TRUE,0.949608672149709,1,0.5,0.5,1,1,0.949608672149709,0.949608672149709
"110","1","d2","Bu=0","0","10","1","1","0","0","0",0.9,0.5,0.8,0.5,0.18,0.25,9,"disjunctive",0.5,2,"Bu=0",0.886378845775473,"Bu",TRUE,0.886378845775473,1,0.5,0.5,1,1,0.886378845775473,0.886378845775473
"111","1","d2","Bu=1","0","01","0","1","1","0","1",0.9,0.5,0.8,0.5,0.18,0.25,7,"disjunctive",0,2,"Bu=1",-0.83520691816524,"Bu",FALSE,0,0,0.5,0.5,0,0,0,0
