"","A","B","Au","Bu","E.x","E.y","pA","peA","pB","peB","Pr","PrUn","index","structure","posterior","groupPost","pgroup","mA","mAu","mB","mBu","cfsA","cfaAu","cfsB","cfsBu","Sum","run"
"57",0,1,1,0,0,0,0.9,0.5,0.8,0.5,0.18,0.25,9,"disjunctive",0.5,2,1,0.331466779953947,-0.0229232864205747,-0.0953258702811127,0.885667020216085,3062,14936,6038,15245,83487,2
"58",0,1,1,0,1,0,0.9,0.5,0.8,0.5,0.18,0.25,10,"disjunctive",0,3,1,-0.343472208795435,0.0216403453821263,0.0945348889831009,-0.882915822241741,3049,15103,6022,15133,16428,2
"59",0,1,1,1,0,1,0.9,0.5,0.8,0.5,0.18,0.25,11,"disjunctive",0,2,1,0.0743601739247607,-0.00542776211527648,-0.49186878995028,-0.826468173379476,2959,15087,5918,15096,19612,2
"60",0,1,1,1,1,1,0.9,0.5,0.8,0.5,0.18,0.25,12,"disjunctive",0.5,3,1,-0.0713403534417956,0.00745096625037346,0.490598116006113,0.829457570502978,2980,15023,5913,15226,80329,2
"61",1,0,0,0,0,0,0.1,0.5,0.2,0.5,0.005,0.25,13,"disjunctive",0.5,4,1,-0.184513769765693,0.714563275047023,0.168236637759931,0.22612885798407,27001,14874,24148,15043,85842,2
"62",1,0,0,0,1,0,0.1,0.5,0.2,0.5,0.005,0.25,14,"disjunctive",0,5,1,0.183634342758583,-0.717336510757604,-0.167739897571495,-0.220386556620945,27133,15031,23759,15138,14201,2
"63",1,0,0,1,0,0,0.1,0.5,0.2,0.5,0.005,0.25,15,"disjunctive",0.5,4,1,-0.118471250371608,0.462488104350683,0.710964655517397,-0.162632048530137,27001,15193,24071,14924,70596,2
"64",1,0,0,1,1,0,0.1,0.5,0.2,0.5,0.005,0.25,16,"disjunctive",0,5,1,0.114247358630753,-0.448307165005499,-0.710382729624559,0.170515721431941,27067,14939,23824,14959,28947,2
"65",1,0,1,0,0,1,0.1,0.5,0.2,0.5,0.005,0.25,17,"disjunctive",0,4,1,-0.139579108691085,-0.529747866429924,0.0739473584715201,0.702958185688438,27134,84957,93957,15035,76298,2
"66",1,0,1,0,1,1,0.1,0.5,0.2,0.5,0.005,0.25,18,"disjunctive",0.5,5,1,0.134826726197041,0.529509294415581,-0.0722889483358242,-0.700946493677317,27171,84838,94039,15000,23640,2
"67",1,0,1,1,0,1,0.1,0.5,0.2,0.5,0.005,0.25,19,"disjunctive",0,4,1,-0.0340549251813125,-0.132932965475658,0.473062960337825,-0.778209245937025,27351,85093,93982,14848,17796,2
"68",1,0,1,1,1,1,0.1,0.5,0.2,0.5,0.005,0.25,20,"disjunctive",0.5,5,1,0.0294731193006295,0.140528640757862,-0.463256118324665,0.779829547807489,26892,84798,94018,15200,82063,2
"69",1,1,0,0,0,0,0.1,0.5,0.8,0.5,0.02,0.25,21,"disjunctive",1,6,1,-0.756825754568599,0.522156450490599,-0.0534799110218124,0.067444852252033,26994,84957,75788,14891,36498,2
"70",1,1,0,0,1,0,0.1,0.5,0.8,0.5,0.02,0.25,22,"disjunctive",0,7,1,0.752510320059365,-0.521678226885454,0.0542854451996428,-0.0699409573305172,26802,85084,76090,15014,63691,2
"71",1,1,0,1,0,1,0.1,0.5,0.8,0.5,0.02,0.25,23,"disjunctive",0,6,1,-0.653753880248103,0.453832856835798,-0.300287054497271,-0.0769579252666932,26941,85036,76082,15133,30173,2
"72",1,1,0,1,1,1,0.1,0.5,0.8,0.5,0.02,0.25,24,"disjunctive",0.333333333333333,7,1,0.654838111170032,-0.448940295158069,0.301697091668527,0.0669198836201711,26948,85086,75792,15034,70045,2
"73",1,1,1,0,0,1,0.1,0.5,0.8,0.5,0.02,0.25,25,"disjunctive",0,6,1,-0.695200900177405,-0.476993094604302,-0.0352089839321028,0.271540907123213,26973,14937,6112,15133,32462,2
"74",1,1,1,0,1,1,0.1,0.5,0.8,0.5,0.02,0.25,26,"disjunctive",0.333333333333333,7,1,0.68873624035713,0.48395407530717,0.0291935816556407,-0.269849955350309,26894,15087,6051,14925,67446,2
"75",1,1,1,1,0,1,0.1,0.5,0.8,0.5,0.02,0.25,27,"disjunctive",0,6,1,-0.28972589041054,-0.200683767218667,-0.289916736585502,-0.485797302851685,27014,15140,6091,15122,7838,2
"76",1,1,1,1,1,1,0.1,0.5,0.8,0.5,0.02,0.25,28,"disjunctive",0.333333333333333,7,1,0.284260044476714,0.199494089770427,0.291341638442082,0.479811597677887,27086,14820,6101,14861,92322,2
"77",0,0,0,0,0,0,0.9,0.5,0.2,0.5,0.045,0.25,1,"conjunctive",0.25,1,1,0.0645495323463568,0.0271657438355936,0.0202304454904989,0.0271988553776859,3026,14979,24109,14948,99987,2
"78",0,0,0,1,0,0,0.9,0.5,0.2,0.5,0.045,0.25,2,"conjunctive",0.25,1,1,0.174296279102974,0.0722820119773414,0.0539957083494008,-0.0126961122956654,2942,14984,24003,14897,99908,2
"79",0,0,1,0,0,0,0.9,0.5,0.2,0.5,0.045,0.25,3,"conjunctive",0.25,1,1,0.131968048864303,-0.05519590923368,0.00594095772284437,0.0553843447249777,3009,84937,93868,14976,99946,2
"80",0,0,1,1,0,0,0.9,0.5,0.2,0.5,0.045,0.25,4,"conjunctive",0.25,1,1,0.339993608309832,-0.140503687007091,0.0149790015607128,-0.0246732942422317,2916,85043,93930,14918,99654,2
"81",0,1,0,0,0,0,0.9,0.5,0.8,0.5,0.18,0.25,5,"conjunctive",0.25,2,1,0.159557299723051,0.0118151848775667,-0.0500309463481711,0.0668478545420812,3012,84993,75996,15033,99921,2
"82",0,1,0,1,0,0,0.9,0.5,0.8,0.5,0.18,0.25,6,"conjunctive",0.25,2,1,0.420356033687341,0.0311462888585684,-0.133452765217197,-0.0313369072136412,3051,85146,76206,15009,99447,2
"83",0,1,1,0,0,0,0.9,0.5,0.8,0.5,0.18,0.25,7,"conjunctive",0.25,2,1,0.329939728252173,-0.0243715288355581,-0.0148105764529389,0.139443190330775,3030,14866,6058,14889,99661,2
"84",0,1,1,1,0,0,0.9,0.5,0.8,0.5,0.18,0.25,8,"conjunctive",0.25,2,1,0.81958088108438,-0.0602753953406112,-0.0362842215542532,-0.0606788816528159,2972,15008,6014,15179,97984,2
"85",1,0,0,0,0,0,0.1,0.5,0.2,0.5,0.005,0.25,9,"conjunctive",0.25,3,1,-0.0381906327955231,0.14915892416887,0.112033429063839,0.148577675844867,27040,15030,23870,15130,99608,2
"86",1,0,0,1,0,0,0.1,0.5,0.2,0.5,0.005,0.25,10,"conjunctive",0.25,3,1,-0.0934827929843395,0.364710976183089,0.272931805561064,-0.0639690022389001,27125,15003,23965,14842,97706,2
"87",1,0,1,0,0,0,0.1,0.5,0.2,0.5,0.005,0.25,11,"conjunctive",0.25,3,1,-0.075389403620317,-0.296293218738573,0.0315541139467713,0.295455322177298,26979,85090,93921,14982,98485,2
"88",1,0,1,1,0,0,0.1,0.5,0.2,0.5,0.005,0.25,12,"conjunctive",0.25,3,1,-0.187948392265532,-0.739351175496644,0.0788135832856176,-0.130394939885602,26684,84922,93985,14907,91153,2
"89",1,1,0,0,0,0,0.1,0.5,0.8,0.5,0.02,0.25,13,"conjunctive",0.333333333333333,4,1,-0.0932899660412324,0.0634221265409696,-0.269294019181803,0.362061731755736,27382,85159,75857,14971,97744,2
"90",1,1,0,0,1,0,0.1,0.5,0.8,0.5,0.02,0.25,14,"conjunctive",0,5,1,0.0904229167791414,-0.0622331125634689,0.265201449310297,-0.356760469577545,26924,85141,76015,14847,2171,2
"91",1,1,0,1,0,0,0.1,0.5,0.8,0.5,0.02,0.25,15,"conjunctive",0.333333333333333,4,1,-0.233515729937865,0.162006869802315,-0.683112390321823,-0.161892696425902,26877,84968,75877,15014,87081,2
"92",1,1,0,1,1,0,0.1,0.5,0.8,0.5,0.02,0.25,16,"conjunctive",0,5,1,0.233179797541944,-0.161383018220525,0.678256136470358,0.161011001453254,27040,84924,75820,15017,12794,2
"93",1,1,1,0,0,0,0.1,0.5,0.8,0.5,0.02,0.25,17,"conjunctive",0.333333333333333,4,1,-0.189376788907396,-0.12993987478319,-0.0790364873543303,0.736688476501029,27099,14894,6081,15094,91201,2
"94",1,1,1,0,1,0,0.1,0.5,0.8,0.5,0.02,0.25,18,"conjunctive",0,5,1,0.187755112896437,0.129557298574917,0.0784163897103196,-0.736351675633237,26977,14959,6054,14965,8711,2
"95",1,1,1,1,0,1,0.1,0.5,0.8,0.5,0.02,0.25,19,"conjunctive",0,4,1,-0.5997097299116,-0.415893024303518,-0.248791306787318,-0.41732476797179,26893,15032,5954,15120,50564,2
"96",1,1,1,1,1,1,0.1,0.5,0.8,0.5,0.02,0.25,20,"conjunctive",1,5,1,0.60424986651787,0.414593061476567,0.251194556567363,0.417576062774299,26997,14828,6007,15010,49681,2
"97",0,0,0,0,0,0,0.9,0.5,0.2,0.5,0.045,0.25,1,"disjunctive",0.25,1,1,0.122801544181027,0.053016997617021,0.326900018757767,0.433942110655598,2951,15015,23958,15100,95978,3
"98",0,0,0,1,0,0,0.9,0.5,0.2,0.5,0.045,0.25,2,"disjunctive",0.25,1,1,0.0496041827389798,0.0227988846099586,0.888044394800198,-0.212972354229659,2987,15017,24081,15248,79284,3
"99",0,0,1,0,0,0,0.9,0.5,0.2,0.5,0.045,0.25,3,"disjunctive",0.25,1,1,0.0553937350736046,-0.0246707844342611,0.0997364599977238,0.950881316204004,2953,85004,94123,14990,85535,3
"100",0,0,1,1,0,0,0.9,0.5,0.2,0.5,0.045,0.25,4,"disjunctive",0.25,1,1,0.0115150211521341,-0.00764305480865709,0.500129753143018,-0.835877694601976,2935,84854,93976,15151,20170,3
"101",0,1,0,0,0,0,0.9,0.5,0.8,0.5,0.18,0.25,5,"disjunctive",0.5,2,1,0.587682475694597,0.0449298877292908,-0.261509303731483,0.349536520515255,3003,85159,76058,14939,93959,3
"102",0,1,0,0,1,0,0.9,0.5,0.8,0.5,0.18,0.25,6,"disjunctive",0,3,1,-0.58401007560336,-0.0454856052781892,0.265298297640159,-0.352780302782694,2999,85268,76022,15170,6110,3
"103",0,1,0,1,0,1,0.9,0.5,0.8,0.5,0.18,0.25,7,"disjunctive",0,2,1,0.277680122698662,0.0223676364142898,-0.844766681767967,-0.198549136499465,2984,84994,76297,15135,77913,3
"104",0,1,0,1,1,1,0.9,0.5,0.8,0.5,0.18,0.25,8,"disjunctive",0.5,3,1,-0.282972822550125,-0.0222643131029458,0.843526485585056,0.198960966762023,3090,85113,76185,14981,22231,3
"105",0,1,1,0,0,0,0.9,0.5,0.8,0.5,0.18,0.25,9,"disjunctive",0.5,2,1,0.33215765061959,-0.0260024278107273,-0.0926001137641745,0.888925440852342,2883,14883,5997,14977,83836,3
"106",0,1,1,0,1,0,0.9,0.5,0.8,0.5,0.18,0.25,10,"disjunctive",0,3,1,-0.339356599769853,0.0268242081952439,0.092606009461369,-0.886653557222799,2993,15186,6000,14858,16183,3
"107",0,1,1,1,0,1,0.9,0.5,0.8,0.5,0.18,0.25,11,"disjunctive",0,2,1,0.0754615655795022,-0.00573289669896229,-0.497535601058788,-0.822461849210673,2939,14947,6045,14957,19595,3
"108",0,1,1,1,1,1,0.9,0.5,0.8,0.5,0.18,0.25,12,"disjunctive",0.5,3,1,-0.0714810472311991,0.00599035754709768,0.495239328626198,0.825428532144455,2883,14955,6054,15067,80261,3
"109",1,0,0,0,0,0,0.1,0.5,0.2,0.5,0.005,0.25,13,"disjunctive",0.5,4,1,-0.188045399610991,0.721158083193606,0.161457149340689,0.217756892876253,27177,15078,24102,14877,85806,3
"110",1,0,0,0,1,0,0.1,0.5,0.2,0.5,0.005,0.25,14,"disjunctive",0,5,1,0.181283362215283,-0.722784043596629,-0.161260379316007,-0.222179216350154,27081,14810,24182,14952,14037,3
"111",1,0,0,1,0,0,0.1,0.5,0.2,0.5,0.005,0.25,15,"disjunctive",0.5,4,1,-0.11394563409241,0.46084108618867,0.709255782457994,-0.164501448025354,26967,15070,23758,14856,70971,3
"112",1,0,0,1,1,0,0.1,0.5,0.2,0.5,0.005,0.25,16,"disjunctive",0,5,1,0.118374782542926,-0.456967581298453,-0.712187763020106,0.168800609015871,26991,15069,24369,14987,29350,3
"113",1,0,1,0,0,1,0.1,0.5,0.2,0.5,0.005,0.25,17,"disjunctive",0,4,1,-0.136566274953941,-0.529844127284989,0.0731316289503093,0.702874660129106,26839,84822,94010,15121,76354,3
"114",1,0,1,0,1,1,0.1,0.5,0.2,0.5,0.005,0.25,18,"disjunctive",0.5,5,1,0.136558132686241,0.526923435665374,-0.0753241909204133,-0.711242783050867,27039,85083,94016,15210,23670,3
"115",1,0,1,1,0,1,0.1,0.5,0.2,0.5,0.005,0.25,19,"disjunctive",0,4,1,-0.0386424137138425,-0.13696003116218,0.468477689558946,-0.780518449666783,27212,85045,94046,15073,17969,3
"116",1,0,1,1,1,1,0.1,0.5,0.2,0.5,0.005,0.25,20,"disjunctive",0.5,5,1,0.0341795204010388,0.135655014887007,-0.469124901944686,0.780022798578358,27283,84874,93950,14868,82220,3
"117",1,1,0,0,0,0,0.1,0.5,0.8,0.5,0.02,0.25,21,"disjunctive",1,6,1,-0.754874194787915,0.524045451866422,-0.048546574990636,0.0693412709124604,26835,84964,76048,14819,36423,3
"118",1,1,0,0,1,0,0.1,0.5,0.8,0.5,0.02,0.25,22,"disjunctive",0,7,1,0.753444529376442,-0.522408005753522,0.0541608681891409,-0.0691058118543424,26983,84983,76096,15017,63435,3
"119",1,1,0,1,0,1,0.1,0.5,0.8,0.5,0.02,0.25,23,"disjunctive",0,6,1,-0.654107899582888,0.451923656790012,-0.301420110848601,-0.0726224147115792,27014,84793,75977,14872,30402,3
"120",1,1,0,1,1,1,0.1,0.5,0.8,0.5,0.02,0.25,24,"disjunctive",0.333333333333333,7,1,0.653247825521974,-0.453904088554474,0.300566613122479,0.0682239495360505,27065,84821,76224,15123,69623,3
"121",1,1,1,0,0,1,0.1,0.5,0.8,0.5,0.02,0.25,25,"disjunctive",0,6,1,-0.690489379710508,-0.476095436121728,-0.0291575263169351,0.274649149511909,27309,14971,5963,15119,32671,3
"122",1,1,1,0,1,1,0.1,0.5,0.8,0.5,0.02,0.25,26,"disjunctive",0.333333333333333,7,1,0.694648232416937,0.47317063543973,0.0316997820218448,-0.270758654746274,27122,14922,6141,15065,67411,3
"123",1,1,1,1,0,1,0.1,0.5,0.8,0.5,0.02,0.25,27,"disjunctive",0,6,1,-0.286452706978495,-0.197395147715558,-0.286339900349235,-0.4802093340996,26875,14806,6038,14832,7569,3
"124",1,1,1,1,1,1,0.1,0.5,0.8,0.5,0.02,0.25,28,"disjunctive",0.333333333333333,7,1,0.285818868773087,0.201477201577133,0.29771573345438,0.479619602315187,27005,15030,5976,14944,92303,3
"125",0,0,0,0,0,0,0.9,0.5,0.2,0.5,0.045,0.25,1,"conjunctive",0.25,1,1,0.0720928332687379,0.0300944348547507,0.0223207976154404,0.0301251299735131,2987,15016,24311,14990,99984,3
"126",0,0,0,1,0,0,0.9,0.5,0.2,0.5,0.045,0.25,2,"conjunctive",0.25,1,1,0.174326806777762,0.0725785225083831,0.0540594257825735,-0.0127661358486475,2941,14880,23960,15037,99908,3
