"","pg_tt","pgroup","trialtype","node3","n","prop","tv","full","noAct","noInf","noSelect","noActnoInf","noActnoSelect","noInfnoSelect","noActnoInfnoSelect","Actual"
"120","2_c3","2","c3","Bu=1",7,0.0933333333333333,0,0,0.00701150150778605,0,0,0.00701150150778605,0.8,0,0.8,FALSE
"121","2_c4","2","c4","A=0",2,0.0303030303030303,NA,0,0,0,NA,0,NA,NA,NA,NA
"122","2_c4","2","c4","A=1",8,0.121212121212121,NA,0,0.0590776130329175,0,0,0.0710477420457319,0,0,0,FALSE
"123","2_c4","2","c4","Au=0",32,0.484848484848485,0.078,0.082402006127281,0.082402006127281,0.0758098456370986,0.978260869565217,0.0758098456370986,0.978260869565217,0.9,0.9,TRUE
"124","2_c4","2","c4","Au=1",2,0.0303030303030303,0.078,0,0.00251151023967852,0,0,0.0263859740063546,0.0217391304347826,0,0.1,FALSE
"125","2_c4","2","c4","B=0",1,0.0151515151515152,NA,0,0,0,NA,0,NA,NA,NA,NA
"126","2_c4","2","c4","B=1",4,0.0606060606060606,NA,0,0.32501292739845,0,0,0.315699407585215,0,0,0,FALSE
"127","2_c4","2","c4","Bu=0",11,0.166666666666667,0.017,0.0338324305388124,0.0338324305388124,0.0311258360957075,0.217391304347826,0.0311258360957075,0.217391304347826,0.2,0.2,TRUE
"128","2_c4","2","c4","Bu=1",6,0.0909090909090909,0.017,0,0.0305991494555953,0,0,0.0382279804751128,0.782608695652174,0,0.8,FALSE
"129","2_c5","2","c5","A=0",1,0.0119047619047619,NA,0,0,0,NA,0,NA,NA,NA,NA
"130","2_c5","2","c5","A=1",8,0.0952380952380952,NA,0.208491866750956,0.208491866750956,0.0707745297176921,1,0.0707745297176921,1,1,1,TRUE
"131","2_c5","2","c5","Au=0",2,0.0238095238095238,0.9,0,0,0,0,0.076466203902851,0,0,0.9,FALSE
"132","2_c5","2","c5","Au=1",29,0.345238095238095,0.9,0.301975207787529,0.301975207787529,0.0264873060125249,1,0.0264873060125249,1,0.1,0.1,TRUE
"133","2_c5","2","c5","B=0",1,0.0119047619047619,NA,0,0,0,NA,0,NA,NA,NA,NA
"134","2_c5","2","c5","B=1",13,0.154761904761905,NA,0.207965663865479,0.207965663865479,0.315900311904487,1,0.315900311904487,1,1,1,TRUE
"135","2_c5","2","c5","Bu=0",1,0.0119047619047619,0.2,0,0,0,0,0.0308428546040429,0,0,0.2,FALSE
"136","2_c5","2","c5","Bu=1",29,0.345238095238095,0.2,0.125373341398757,0.125373341398757,0.038125833870145,1,0.038125833870145,1,0.8,0.8,TRUE
"137","2_d1","2","d1","A=0",9,0.140625,NA,0.0145475280594173,0.0145475280594173,0.0145475280594173,1,0.0145475280594173,1,1,1,TRUE
"138","2_d1","2","d1","A=1",3,0.046875,NA,0,0,0,NA,0,NA,NA,NA,NA
"139","2_d1","2","d1","Au=0",8,0.125,0,0.0336776551709062,0.0336776551709062,0.0336776551709062,0.9,0.0336776551709062,0.9,0.9,0.9,TRUE
"140","2_d1","2","d1","Au=1",2,0.03125,0,0,0.00101727870315015,0,0,0.00101727870315015,0.1,0,0.1,FALSE
"141","2_d1","2","d1","B=0",32,0.5,NA,0.416051702086159,0.416051702086159,0.416051702086159,1,0.416051702086159,1,1,1,TRUE
"142","2_d1","2","d1","B=1",1,0.015625,NA,0,0,0,NA,0,NA,NA,NA,NA
"143","2_d1","2","d1","Bu=0",4,0.0625,0,0.0378972568809466,0.0378972568809466,0.0378972568809466,0.2,0.0378972568809466,0.2,0.2,0.2,TRUE
"144","2_d1","2","d1","Bu=1",5,0.078125,0,0,0.0561237859986556,0,0,0.0561237859986556,0.8,0,0.8,FALSE
"145","2_d2","2","d2","A=0",15,0.208333333333333,NA,0.347458008767318,0.347458008767318,0.265122890621032,1,0.265122890621032,1,1,1,TRUE
"146","2_d2","2","d2","A=1",0,0,NA,0,0,0,NA,0,NA,NA,NA,NA
"147","2_d2","2","d2","Au=0",1,0.0138888888888889,0,0.0830301744126953,0.0830301744126953,0.0651441491921293,0.9,0.0651441491921293,0.9,0.9,0.9,TRUE
"148","2_d2","2","d2","Au=1",3,0.0416666666666667,0,0,0.00581930393854928,0,0,0.00255841718980886,0.1,0,0.1,FALSE
"149","2_d2","2","d2","B=0",2,0.0277777777777778,NA,0,0,0,NA,0,NA,NA,NA,NA
"150","2_d2","2","d2","B=1",7,0.0972222222222222,NA,0,0.106807122455591,0,0,0.306089938728216,0,0,0,FALSE
