"","subject_id","trial_id","Respondent","Response","Observed","pgroup","Actual","include","structure","trial_type","trial_structure_type","Variable","SE"
"80","081821707n","1_c4","sampled_variable","A=1","TRUE","A=.1,Au=.5,B=.8,Bu=.5",FALSE,TRUE,"conjunctive","A=1,B=1,E=0","Conjunctive: A=1,B=1,E=0","A",0.0325723316654405
"81","081821707n","1_d3","node3","Bu=1","FALSE","A=.1,Au=.5,B=.8,Bu=.5",TRUE,TRUE,"disjunctive","A=0,B=1,E=1","Disjunctive: A=0,B=1,E=1","B",0.0573374324691989
"82","081821707n","1_d3","sampled_variable","B=1","TRUE","A=.1,Au=.5,B=.8,Bu=.5",TRUE,TRUE,"disjunctive","A=0,B=1,E=1","Disjunctive: A=0,B=1,E=1","B",0.0405436873147963
"83","081821707n","1_d4","node3","B=0","TRUE","A=.1,Au=.5,B=.8,Bu=.5",TRUE,TRUE,"disjunctive","A=1,B=0,E=0","Disjunctive: A=1,B=0,E=0","B",0.0516748302942303
"84","081821707n","1_d4","sampled_variable","B=0","TRUE","A=.1,Au=.5,B=.8,Bu=.5",TRUE,TRUE,"disjunctive","A=1,B=0,E=0","Disjunctive: A=1,B=0,E=0","B",0.0516748302942303
"85","081821707n","2_c5","node3","Au=1","FALSE","A=.5,Au=.1,B=.5,Bu=.8",TRUE,TRUE,"conjunctive","A=1,B=1,E=1","Conjunctive: A=1,B=1,E=1","A",0.0518753947586204
"86","081821707n","2_c5","sampled_variable","Au=1","FALSE","A=.5,Au=.1,B=.5,Bu=.8",TRUE,TRUE,"conjunctive","A=1,B=1,E=1","Conjunctive: A=1,B=1,E=1","A",0.0518753947586204
"87","081821707n","2_d6","node3","Au=0","FALSE","A=.5,Au=.1,B=.5,Bu=.8",TRUE,TRUE,"disjunctive","A=1,B=1,E=0","Disjunctive: A=1,B=1,E=0","A",0.0544141026337716
"88","081821707n","2_d6","sampled_variable","Bu=0","FALSE","A=.5,Au=.1,B=.5,Bu=.8",TRUE,TRUE,"disjunctive","A=1,B=1,E=0","Disjunctive: A=1,B=1,E=0","B",0.0589315616963706
"89","081821707n","3_d1","node3","Bu=0","FALSE","A=.1,Au=.7,B=.8,Bu=.5",TRUE,TRUE,"disjunctive","A=0,B=0,E=0","Disjunctive: A=0,B=0,E=0","B",0.0433781723888433
"90","081821707n","3_d1","sampled_variable","B=0","TRUE","A=.1,Au=.7,B=.8,Bu=.5",TRUE,TRUE,"disjunctive","A=0,B=0,E=0","Disjunctive: A=0,B=0,E=0","B",0.0549818527885886
"91","081821707n","3_d2","node3","Au=0","FALSE","A=.1,Au=.7,B=.8,Bu=.5",TRUE,TRUE,"disjunctive","A=0,B=1,E=0","Disjunctive: A=0,B=1,E=0","A",0.0330099434577776
"92","081821707n","3_d2","sampled_variable","Bu=0","FALSE","A=.1,Au=.7,B=.8,Bu=.5",TRUE,TRUE,"disjunctive","A=0,B=1,E=0","Disjunctive: A=0,B=1,E=0","B",0.0586225941284341
"93","081821707n","3_d3","node3","Bu=1","FALSE","A=.1,Au=.7,B=.8,Bu=.5",TRUE,TRUE,"disjunctive","A=0,B=1,E=1","Disjunctive: A=0,B=1,E=1","B",0.0544925843115552
"94","081821707n","3_d3","sampled_variable","Bu=1","FALSE","A=.1,Au=.7,B=.8,Bu=.5",TRUE,TRUE,"disjunctive","A=0,B=1,E=1","Disjunctive: A=0,B=1,E=1","B",0.0544925843115552
"95","081821707n","3_d7","node3","A=1","TRUE","A=.1,Au=.7,B=.8,Bu=.5",TRUE,TRUE,"disjunctive","A=1,B=1,E=1","Disjunctive: A=1,B=1,E=1","A",0.0525723487382089
"96","081821707n","3_d7","sampled_variable","Au=1","FALSE","A=.1,Au=.7,B=.8,Bu=.5",TRUE,TRUE,"disjunctive","A=1,B=1,E=1","Disjunctive: A=1,B=1,E=1","A",0.0510627790803381
