"","pg_tt","pgroup","trialtype","node3","n","prop","tv","full","noAct","noInf","noSelect","noActnoInf","noActnoSelect","noInfnoSelect","noActnoInfnoSelect","Actual","baseline"
"139","2_d1","2","d1","Au=0",8,0.125,0,0.0673553103418123,0.0673553103418123,0.0673553103418123,0.9,0.0673553103418123,0.9,0.9,0.9,TRUE,0.125
"140","2_d1","2","d1","Au=1",2,0.03125,0,0,0.014505132328616,0,0,0.014505132328616,0.1,0,0.1,FALSE,0.125
"141","2_d1","2","d1","B=0",32,0.5,NA,0.821693289142685,0.821693289142685,0.821693289142685,1,0.821693289142685,1,1,1,TRUE,0.125
"142","2_d1","2","d1","B=1",1,0.015625,NA,0,0,0,NA,0,NA,NA,NA,NA,0.125
"143","2_d1","2","d1","Bu=0",4,0.0625,0,0.0612469706348129,0.0612469706348129,0.0612469706348129,0.2,0.0612469706348129,0.2,0.2,0.2,TRUE,0.125
"144","2_d1","2","d1","Bu=1",5,0.078125,0,0,0.0781243343704201,0,0,0.0781243343704201,0.8,0,0.8,FALSE,0.125
"145","2_d2","2","d2","A=0",15,0.208333333333333,NA,0.0648197443167289,0.0648197443167289,0.0277932547566175,1,0.0277932547566175,1,1,1,TRUE,0.125
"146","2_d2","2","d2","A=1",0,0,NA,0,0,0,NA,0,NA,NA,NA,NA,0.125
"147","2_d2","2","d2","Au=0",1,0.0138888888888889,0,0.0454716849250258,0.0454716849250258,0.0182940048014603,0.9,0.0182940048014603,0.9,0.9,0.9,TRUE,0.125
"148","2_d2","2","d2","Au=1",3,0.0416666666666667,0,0,0.0116386078770986,0,0,0.00511683437961773,0.1,0,0.1,FALSE,0.125
"149","2_d2","2","d2","B=0",2,0.0277777777777778,NA,0,0,0,NA,0,NA,NA,NA,NA,0.125
"150","2_d2","2","d2","B=1",7,0.0972222222222222,NA,0,0.204638385106341,0,0,0.704786036313386,0,0,0,FALSE,0.125
"151","2_d2","2","d2","Bu=0",38,0.527777777777778,0.8,0.872884200591151,0.872884200591151,0.17457684011823,1,0.17457684011823,1,0.2,0.2,TRUE,0.125
"152","2_d2","2","d2","Bu=1",6,0.0833333333333333,0.8,0,0,0,0,0.399565830317893,0,0,0.8,FALSE,0.125
"153","2_d3","2","d3","A=0",4,0.0597014925373134,NA,0,0.0184294492042485,0,0,0.0276137163744201,0,0,0,FALSE,0.125
"154","2_d3","2","d3","A=1",2,0.0298507462686567,NA,0,0,0,NA,0,NA,NA,NA,NA,0.125
"155","2_d3","2","d3","Au=0",2,0.0298507462686567,0,0,0.0116888096162892,0,0,0.018324408971038,0.9,0,0.9,FALSE,0.125
"156","2_d3","2","d3","Au=1",3,0.0447761194029851,0,0,0.00344894984329914,0,0,0.00510843752378284,0.1,0,0.1,FALSE,0.125
"157","2_d3","2","d3","B=0",0,0,NA,0,0,0,NA,0,NA,NA,NA,NA,0.125
"158","2_d3","2","d3","B=1",11,0.164179104477612,NA,0.82851572223417,0.82851572223417,0.70401413022415,1,0.70401413022415,1,1,1,TRUE,0.125
"159","2_d3","2","d3","Bu=0",2,0.0298507462686567,0.2,0,0,0,0,0.174566785479079,0,0,0.2,FALSE,0.125
"160","2_d3","2","d3","Bu=1",43,0.641791044776119,0.2,0.498903047546637,0.498903047546637,0.399122438037309,1,0.399122438037309,1,0.8,0.8,TRUE,0.125
"161","2_d4","2","d4","A=0",2,0.0246913580246914,NA,0,0,0,NA,0,NA,NA,NA,NA,0.125
"162","2_d4","2","d4","A=1",8,0.0987654320987654,NA,0,0.0284173461732591,0,0,0.0742610029072026,0,0,0,FALSE,0.125
"163","2_d4","2","d4","Au=0",34,0.419753086419753,0.1,0.385688638947906,0.385688638947906,0.347119775053116,1,0.347119775053116,1,0.9,0.9,TRUE,0.125
"164","2_d4","2","d4","Au=1",5,0.0617283950617284,0.1,0,0,0,0,0.0703472962943158,0,0,0.1,FALSE,0.125
"165","2_d4","2","d4","B=0",21,0.259259259259259,NA,0.778484174903382,0.778484174903382,0.723720652410764,1,0.723720652410764,1,1,1,TRUE,0.125
"166","2_d4","2","d4","B=1",0,0,NA,0,0,0,NA,0,NA,NA,NA,NA,0.125
"167","2_d4","2","d4","Bu=0",2,0.0246913580246914,0,0.0524900492400772,0.0524900492400772,0.0482576651835924,0.2,0.0482576651835924,0.2,0.2,0.2,TRUE,0.125
"168","2_d4","2","d4","Bu=1",9,0.111111111111111,0,0,0.0751720899156358,0,0,0.0699625824352724,0.8,0,0.8,FALSE,0.125
"169","2_d5","2","d5","A=0",0,0,NA,0,0,0,NA,0,NA,NA,NA,NA,0.125
"170","2_d5","2","d5","A=1",14,0.191780821917808,NA,0.486280184855806,0.486280184855806,0.0746344445511666,1,0.0746344445511666,1,1,1,TRUE,0.125
"171","2_d5","2","d5","Au=0",2,0.0273972602739726,0.9,0,0,0,0,0.349255037932295,0,0,0.9,FALSE,0.125
"172","2_d5","2","d5","Au=1",36,0.493150684931507,0.9,0.704522776782051,0.704522776782051,0.0704522776782051,1,0.0704522776782051,1,0.1,0.1,TRUE,0.125
"173","2_d5","2","d5","B=0",10,0.136986301369863,NA,0,0.230841878137352,0,0,0.72361398780149,0,0,0,FALSE,0.125
