"","X","trial_id","pgroup","trialtype","node3","n","prop","tv","full","noAct","noInf","noSelect","noActnoInf","noActnoSelect","noInfnoSelect","noActnoInfnoSelect","Actual","A","B","E","include"
"81",81,"1_d6",1,"d6","A=0",2,0.0298507462686567,NA,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,NA,1,1,0,FALSE
"82",82,"1_d6",1,"d6","A=1",4,0.0597014925373134,NA,0,-0.755661047658232,0,0,-0.596156613710245,0,0,0,FALSE,1,1,0,TRUE
"83",83,"1_d6",1,"d6","Au=0",14,0.208955223880597,0.5,0.521672132844056,0.521672132844056,0.243568729585199,1,0.243568729585199,1,0.5,0.5,TRUE,1,1,0,TRUE
"84",84,"1_d6",1,"d6","Au=1",1,0.0149253731343284,0.5,0,0,0,0,-0.169182569247992,0,0,0.5,FALSE,1,1,0,TRUE
"85",85,"1_d6",1,"d6","B=0",4,0.0597014925373134,NA,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,NA,1,1,0,FALSE
"86",86,"1_d6",1,"d6","B=1",7,0.104477611940299,NA,0,-0.0493349050130202,0,0,-0.166351839328679,0,0,0,FALSE,1,1,0,TRUE
"87",87,"1_d6",1,"d6","Bu=0",33,0.492537313432836,0.5,0.0678576073695447,0.0678576073695447,0.0851644375594797,1,0.0851644375594797,1,0.5,0.5,TRUE,1,1,0,TRUE
"88",88,"1_d6",1,"d6","Bu=1",0,0,0.5,0,0,0,0,-0.138162279207402,0,0,0.5,FALSE,1,1,0,TRUE
"89",89,"1_d7",1,"d7","A=0",2,0.0294117647058824,NA,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,NA,1,1,1,FALSE
"90",90,"1_d7",1,"d7","A=1",10,0.147058823529412,NA,0.543939322670907,0.543939322670907,0.596735990809921,1,0.596735990809921,1,1,1,TRUE,1,1,1,TRUE
"91",91,"1_d7",1,"d7","Au=0",1,0.0147058823529412,0.167,0,-0.15085573525339,0,0,-0.243479201676557,0.333333333333333,0,0.5,FALSE,1,1,1,TRUE
"92",92,"1_d7",1,"d7","Au=1",15,0.220588235294118,0.167,0.225521054565856,0.225521054565856,0.169140790924392,0.666666666666666,0.169140790924392,0.666666666666666,0.5,0.5,TRUE,1,1,1,TRUE
"93",93,"1_d7",1,"d7","B=0",1,0.0147058823529412,NA,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,NA,1,1,1,FALSE
"94",94,"1_d7",1,"d7","B=1",11,0.161764705882353,NA,0.205521836315589,0.205521836315589,0.166903800402619,1,0.166903800402619,1,1,1,TRUE,1,1,1,TRUE
"95",95,"1_d7",1,"d7","Bu=0",2,0.0294117647058824,0.167,0,-0.0904809096015486,0,0,-0.0845592143318099,0.333333333333333,0,0.5,FALSE,1,1,1,TRUE
"96",96,"1_d7",1,"d7","Bu=1",26,0.382352941176471,0.167,0.18307891187768,0.18307891187768,0.13730918390826,0.666666666666666,0.13730918390826,0.666666666666666,0.5,0.5,TRUE,1,1,1,TRUE
"97",97,"2_c1",2,"c1","A=0",17,0.236111111111111,NA,0.0620708160700699,0.0620708160700699,0.0620708160700699,1,0.0620708160700699,1,1,1,TRUE,0,0,0,TRUE
"98",98,"2_c1",2,"c1","A=1",0,0,NA,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,NA,0,0,0,FALSE
"99",99,"2_c1",2,"c1","Au=0",8,0.111111111111111,0,0.117180612428172,0.117180612428172,0.117180612428172,0.9,0.117180612428172,0.9,0.9,0.9,TRUE,0,0,0,TRUE
"100",100,"2_c1",2,"c1","Au=1",4,0.0555555555555556,0,0,-0.0306232665464588,0,0,-0.0306232665464588,0.1,0,0.1,FALSE,0,0,0,TRUE
"101",101,"2_c1",2,"c1","B=0",26,0.361111111111111,NA,0.0513575992609372,0.0513575992609372,0.0513575992609372,1,0.0513575992609372,1,1,1,TRUE,0,0,0,TRUE
"102",102,"2_c1",2,"c1","B=1",1,0.0138888888888889,NA,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,NA,0,0,0,FALSE
"103",103,"2_c1",2,"c1","Bu=0",8,0.111111111111111,0,0.00533962779601245,0.00533962779601245,0.00533962779601245,0.2,0.00533962779601245,0.2,0.2,0.2,TRUE,0,0,0,TRUE
"104",104,"2_c1",2,"c1","Bu=1",8,0.111111111111111,0,0,-0.00581333550922209,0,0,-0.00581333550922209,0.8,0,0.8,FALSE,0,0,0,TRUE
"105",105,"2_c2",2,"c2","A=0",38,0.493506493506494,NA,0.308470998691861,0.308470998691861,0.308470998691861,1,0.308470998691861,1,1,1,TRUE,0,1,0,TRUE
"106",106,"2_c2",2,"c2","A=1",4,0.051948051948052,NA,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,NA,0,1,0,FALSE
"107",107,"2_c2",2,"c2","Au=0",6,0.0779220779220779,0,0.0619906751147241,0.0619906751147241,0.0619906751147241,0.9,0.0619906751147241,0.9,0.9,0.9,TRUE,0,1,0,TRUE
"108",108,"2_c2",2,"c2","Au=1",7,0.0909090909090909,0,0,-0.0169020063713587,0,0,-0.0169020063713587,0.1,0,0.1,FALSE,0,1,0,TRUE
"109",109,"2_c2",2,"c2","B=0",0,0,NA,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,NA,0,1,0,FALSE
"110",110,"2_c2",2,"c2","B=1",7,0.0909090909090909,NA,0,-0.254276945831479,0,0,-0.254276945831479,0,0,0,FALSE,0,1,0,TRUE
"111",111,"2_c2",2,"c2","Bu=0",10,0.12987012987013,0,0.0256100693429096,0.0256100693429096,0.0256100693429096,0.2,0.0256100693429096,0.2,0.2,0.2,TRUE,0,1,0,TRUE
"112",112,"2_c2",2,"c2","Bu=1",5,0.0649350649350649,0,0,-0.0290840377003968,0,0,-0.0290840377003968,0.8,0,0.8,FALSE,0,1,0,TRUE
"113",113,"2_c3",2,"c3","A=0",1,0.0133333333333333,NA,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,NA,1,0,0,FALSE
"114",114,"2_c3",2,"c3","A=1",7,0.0933333333333333,NA,0,-0.0259464367865197,0,0,-0.0259464367865197,0,0,0,FALSE,1,0,0,TRUE
"115",115,"2_c3",2,"c3","Au=0",19,0.253333333333333,0,0.276191821861416,0.276191821861416,0.276191821861416,0.9,0.276191821861416,0.9,0.9,0.9,TRUE,1,0,0,TRUE
"116",116,"2_c3",2,"c3","Au=1",3,0.04,0,0,-0.07378030420661,0,0,-0.07378030420661,0.1,0,0.1,FALSE,1,0,0,TRUE
"117",117,"2_c3",2,"c3","B=0",33,0.44,NA,0.121277712216419,0.121277712216419,0.121277712216419,1,0.121277712216419,1,1,1,TRUE,1,0,0,TRUE
"118",118,"2_c3",2,"c3","B=1",2,0.0266666666666667,NA,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,NA,1,0,0,FALSE
"119",119,"2_c3",2,"c3","Bu=0",3,0.04,0,0.0124389240005473,0.0124389240005473,0.0124389240005473,0.2,0.0124389240005473,0.2,0.2,0.2,TRUE,1,0,0,TRUE
"120",120,"2_c3",2,"c3","Bu=1",7,0.0933333333333333,0,0,-0.0138124199278946,0,0,-0.0138124199278946,0.8,0,0.8,FALSE,1,0,0,TRUE
"121",121,"2_c4",2,"c4","A=0",2,0.0294117647058824,NA,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,NA,1,1,0,FALSE
"122",122,"2_c4",2,"c4","A=1",8,0.117647058823529,NA,0,-0.117613902816143,0,0,-0.141468151321027,0,0,0,FALSE,1,1,0,TRUE
"123",123,"2_c4",2,"c4","Au=0",33,0.485294117647059,0.078,0.165271378311299,0.165271378311299,0.152049668046395,0.978260869565217,0.152049668046395,0.978260869565217,0.9,0.9,TRUE,1,1,0,TRUE
"124",124,"2_c4",2,"c4","Au=1",2,0.0294117647058824,0.078,0,-0.00501805908088672,0,0,-0.052878660990449,0.0217391304347826,0,0.1,FALSE,1,1,0,TRUE
"125",125,"2_c4",2,"c4","B=0",1,0.0147058823529412,NA,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,NA,1,1,0,FALSE
"126",126,"2_c4",2,"c4","B=1",4,0.0588235294117647,NA,0,-0.65001646071506,0,0,-0.63131248080683,0,0,0,FALSE,1,1,0,TRUE
"127",127,"2_c4",2,"c4","Bu=0",12,0.176470588235294,0.017,0.0674627143264066,0.0674627143264066,0.0620656971802942,0.217391304347826,0.0620656971802942,0.217391304347826,0.2,0.2,TRUE,1,1,0,TRUE
"128",128,"2_c4",2,"c4","Bu=1",6,0.0882352941176471,0.017,0,-0.061330666195699,0,0,-0.0764457275419704,0.782608695652174,0,0.8,FALSE,1,1,0,TRUE
"129",129,"2_c5",2,"c5","A=0",1,0.0116279069767442,NA,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,NA,1,1,1,FALSE
"130",130,"2_c5",2,"c5","A=1",8,0.0930232558139535,NA,0.417390986639466,0.417390986639466,0.141836919520081,1,0.141836919520081,1,1,1,TRUE,1,1,1,TRUE
"131",131,"2_c5",2,"c5","Au=0",2,0.0232558139534884,0.9,0,0,0,0,-0.152589243774881,0,0,0.9,FALSE,1,1,1,TRUE
"132",132,"2_c5",2,"c5","Au=1",30,0.348837209302326,0.9,0.603273493028209,0.603273493028209,0.052882607258925,1,0.052882607258925,1,0.1,0.1,TRUE,1,1,1,TRUE
"133",133,"2_c5",2,"c5","B=0",1,0.0116279069767442,NA,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,NA,1,1,1,FALSE
